InputText,Label
printelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesis,1
def addlabarrabajanumberselabrirparentesisxlacoma yelcerrarparentesislosdospuntos return x elmas y,1
public static void mainelabrirparentesisStringelabrircorcheteelcerrarcorchete argselcerrarparentesis elabrirllave SystemelpuntooutelpuntoprintlnelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave,0
const numbers eligual elabrircorcheteelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarcorcheteelpuntoycomaconst sum eligual numberselpuntoreduceelabrirparentesiselabrirparentesisacclacoma curelcerrarparentesis eligualelmayorque acc elmas curelcerrarparentesiselpuntoycomaconsoleelpuntologelabrirparentesissumelcerrarparentesiselpuntoycoma,0
int numeluno eligual elcincoelpuntoycomaint numeldos eligual elsieteelpuntoycomaint sum eligual numeluno elmas numeldoselpuntoycoma,0
for letter in lacomillasimplehellolacomillasimplelosdospuntos printelabrirparentesisletterelcerrarparentesis,1
if elabrirparentesisx elmayorque elunoelceroelcerrarparentesis elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is greater than elunoelcerolacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave else elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is less than or equal to elunoelcerolacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave,0
def multiplylabarrabajanumberselabrirparentesisxlacoma yelcerrarparentesislosdospuntos return x elasterisco y,1
for elabrirparentesisint i eligual elceroelpuntoycoma i elmenorque elunoelceroelpuntoycoma ielmaselmaselcerrarparentesis elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesisielcerrarparentesiselpuntoycomaelcerrarllave,0
printelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesis,1
def factorialelabrirparentesisnelcerrarparentesislosdospuntos return eluno if n elmenorqueeligual eluno else n elasterisco factorialelabrirparentesisnelmenoselunoelcerrarparentesis,1
numeluno eligual elcincoelsaltodelineanumeldos eligual elunoelceroelsaltodelineasum eligual numeluno elmas numeldoselsaltodelineaprintelabrirparentesissumelcerrarparentesis,0
const fruits eligual elabrircorchetelacomillasimpleapplelacomillasimplelacoma lacomillasimplebananalacomillasimplelacoma lacomillasimplecherrylacomillasimpleelcerrarcorcheteelsaltodelineafor fruit in fruitslosdospuntoselsaltodelinea printelabrirparentesisfruitelcerrarparentesis,0
public static void mainelabrirparentesisStringelabrircorcheteelcerrarcorchete argselcerrarparentesis elabrirllaveelsaltodelinea int x eligual elcincoelpuntoycomaelsaltodelinea SystemelpuntooutelpuntoprintlnelabrirparentesislacomillasimpleThe value of x islosdospuntos lacomillasimple elmas xelcerrarparentesiselpuntoycomaelsaltodelineaelcerrarllave,0
def islabarrabajaprimeelabrirparentesisnumelcerrarparentesislosdospuntoselsaltodelinea if num elmenorqueeligual elunolosdospuntoselsaltodelinea return Falseelsaltodelinea for i in rangeelabrirparentesiseldoslacoma numelcerrarparentesislosdospuntoselsaltodelinea if num elporcentaje i eligualeligual elcerolosdospuntoselsaltodelinea return Falseelsaltodelinea return True,1
var numbers eligual elabrircorcheteelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarcorcheteelsaltodelineavar sum eligual numberselpuntoreduceelabrirparentesiselabrirparentesisalacoma belcerrarparentesis eligualelmayorque a elmas belcerrarparentesiselsaltodelineaconsoleelpuntologelabrirparentesissumelcerrarparentesis,0
intelabrircorcheteelcerrarcorchete arr eligual elabrirllaveelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarllaveelsaltodelineaint sum eligual elceroelpuntoycomaelsaltodelineafor elabrirparentesisint i eligual elceroelpuntoycoma i elmenorque arrelpuntolengthelpuntoycoma ielmaselmaselcerrarparentesis elabrirllaveelsaltodelinea sum elmaseligual arrelabrircorcheteielcerrarcorcheteelpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaSystemelpuntooutelpuntoprintlnelabrirparentesissumelcerrarparentesiselpuntoycoma,0
def greetelabrirparentesisnameelcerrarparentesislosdospuntoselsaltodelinea printelabrirparentesislacomillasimpleHellolacoma lacomillasimple elmas name elmas lacomillasimple!lacomillasimpleelcerrarparentesiselsaltodelineagreetelabrirparentesislacomillasimpleJohnlacomillasimpleelcerrarparentesis,1
var numeluno eligual elcincoelpuntoycomaelsaltodelineavar numeldos eligual elunoelceroelpuntoycomaelsaltodelineavar sum eligual numeluno elmas numeldoselpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesissumelcerrarparentesiselpuntoycoma,0
public static int multiplyelabrirparentesisint numelunolacoma int numeldoselcerrarparentesis elabrirllave return numeluno elasterisco numeldoselpuntoycoma elcerrarllave,0
let name eligual lacomillasimpleAlicelacomillasimpleelpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesislacomillasimpleHellolacoma lacomillasimple elmas name elmas lacomillasimple!lacomillasimpleelcerrarparentesiselpuntoycoma,0
import mathelsaltodelineaprintelabrirparentesismathelpuntosqrtelabrirparentesiseldoselcincoelcerrarparentesiselcerrarparentesis,1
function sumelabrirparentesisalacoma belcerrarparentesis elabrirllaveelsaltodelinea return a elmas belpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaconsoleelpuntologelabrirparentesissumelabrirparentesiseltreslacoma elcincoelcerrarparentesiselcerrarparentesiselpuntoycoma,0
printelabrirparentesislacomillasimpleMy name is John and I am lacomillasimple elmas strelabrirparentesiseltreselceroelcerrarparentesis elmas lacomillasimple years oldelpuntolacomillasimpleelcerrarparentesis,1
intelabrircorcheteelcerrarcorchete numbers eligual elabrirllaveelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarllaveelpuntoycomaelsaltodelineaint sum eligual elceroelpuntoycomaelsaltodelineafor elabrirparentesisint number losdospuntos numberselcerrarparentesis elabrirllaveelsaltodelinea sum elmaseligual numberelpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaSystemelpuntooutelpuntoprintlnelabrirparentesissumelcerrarparentesiselpuntoycoma,0
def greetelabrirparentesisnameelcerrarparentesislosdospuntoselsaltodelinea printelabrirparentesisflacomillasimpleHellolacoma elabrirllavenameelcerrarllave! How are you doing todayelcerrarinterrogantelacomillasimpleelcerrarparentesiselsaltodelineagreetelabrirparentesislacomillasimpleMarylacomillasimpleelcerrarparentesis,1
const numbers eligual elabrircorcheteeldoslacoma elcuatrolacoma elseislacoma elochoelcerrarcorcheteelpuntoycomaelsaltodelineaconst squares eligual numberselpuntomapelabrirparentesisnumber eligualelmayorque number elasteriscoelasterisco eldoselcerrarparentesiselpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesissquareselcerrarparentesiselpuntoycoma,0
var x eligual elcincoelpuntoycomaelsaltodelineaif elabrirparentesisx elporcentaje eldos eligualeligual elceroelcerrarparentesis elabrirllaveelsaltodelinea consoleelpuntologelabrirparentesislacomillasimplex is evenlacomillasimpleelcerrarparentesiselpuntoycomaelsaltodelineaelcerrarllave else elabrirllaveelsaltodelinea consoleelpuntologelabrirparentesislacomillasimplex is oddlacomillasimpleelcerrarparentesiselpuntoycomaelsaltodelineaelcerrarllave,0
for i in rangeelabrirparentesiselunolacoma elseiselcerrarparentesislosdospuntoselsaltodelinea printelabrirparentesisi elasteriscoelasterisco eldoselcerrarparentesis,1
function multiplyNumberselabrirparentesisxlacoma yelcerrarparentesis elabrirllaveelsaltodelinea return x elasterisco yelpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaconsoleelpuntologelabrirparentesismultiplyNumberselabrirparentesiseltreslacoma elcuatroelcerrarparentesiselcerrarparentesiselpuntoycoma,0
double radius eligual eltreselpuntoelcincoelpuntoycomaelsaltodelineadouble area eligual MathelpuntoPI elasterisco radius elasterisco radiuselpuntoycomaelsaltodelineaSystemelpuntooutelpuntoprintlnelabrirparentesisareaelcerrarparentesiselpuntoycoma,0
def isPalindromeelabrirparentesisstringelcerrarparentesislosdospuntoselsaltodelinea return string eligualeligual stringelabrircorchetelosdospuntoslosdospuntoselmenoselunoelcerrarcorcheteelsaltodelineaprintelabrirparentesisisPalindromeelabrirparentesislacomillasimpleracecarlacomillasimpleelcerrarparentesiselcerrarparentesis,1
var fruits eligual elabrircorchetelacomillasimpleapplelacomillasimplelacoma lacomillasimplebananalacomillasimplelacoma lacomillasimplecherrylacomillasimpleelcerrarcorcheteelpuntoycomaelsaltodelineafruitselpuntoforEachelabrirparentesisfruit eligualelmayorque consoleelpuntologelabrirparentesisfruitelcerrarparentesiselcerrarparentesiselpuntoycoma,0
int x eligual elcincoelpuntoycomaelsaltodelineawhile elabrirparentesisx elmayorque elceroelcerrarparentesis elabrirllaveelsaltodelinea Systemelpuntooutelpuntoprintlnelabrirparentesisxelcerrarparentesiselpuntoycomaelsaltodelinea x elmenoseligual elunoelpuntoycomaelsaltodelineaelcerrarllave,0
let numbers eligual elabrircorcheteelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarcorcheteelpuntoycomaelsaltodelinealet sum eligual elceroelpuntoycomaelsaltodelineafor elabrirparentesislet number of numberselcerrarparentesis elabrirllaveelsaltodelinea sum elmaseligual numberelpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaconsoleelpuntologelabrirparentesissumelcerrarparentesiselpuntoycoma,0
def reverseStringelabrirparentesisstringelcerrarparentesislosdospuntoselsaltodelinea return stringelabrircorchetelosdospuntoslosdospuntoselmenoselunoelcerrarcorcheteelsaltodelineaprintelabrirparentesisreverseStringelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesiselcerrarparentesis,1
var age eligual eldoselcincoelpuntoycomaelsaltodelineavar canVote eligual elabrirparentesisage elmayorqueeligual elunoelochoelcerrarparentesis elcerrarinterrogante true losdospuntos falseelpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesiscanVoteelcerrarparentesiselpuntoycoma,0
printelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesis,1
def addlabarrabajanumberselabrirparentesisxlacoma yelcerrarparentesislosdospuntos return x elmas y,1
public static void mainelabrirparentesisStringelabrircorcheteelcerrarcorchete argselcerrarparentesis elabrirllave SystemelpuntooutelpuntoprintlnelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave,0
const numbers eligual elabrircorcheteelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarcorcheteelpuntoycomaconst sum eligual numberselpuntoreduceelabrirparentesiselabrirparentesisacclacoma curelcerrarparentesis eligualelmayorque acc elmas curelcerrarparentesiselpuntoycomaconsoleelpuntologelabrirparentesissumelcerrarparentesiselpuntoycoma,0
int numeluno eligual elcincoelpuntoycomaint numeldos eligual elsieteelpuntoycomaint sum eligual numeluno elmas numeldoselpuntoycoma,0
for letter in lacomillasimplehellolacomillasimplelosdospuntos printelabrirparentesisletterelcerrarparentesis,1
if elabrirparentesisx elmayorque elunoelceroelcerrarparentesis elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is greater than elunoelcerolacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave else elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is less than or equal to eluno0lacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave,0
def multiplylabarrabajanumberselabrirparentesisxlacoma yelcerrarparentesislosdospuntos return x elasterisco y,1
for elabrirparentesisint i eligual elceroelpuntoycoma i elmenorque elunoelceroelpuntoycoma ielmaselmaselcerrarparentesis elabrirllave Systemelpuntooutelpuntoprintlnelabrirparentesisielcerrarparentesiselpuntoycomaelcerrarllave,0
def factorialelabrirparentesisnelcerrarparentesislosdospuntos return eluno if n elmenorqueeligual eluno else n elasterisco factorialelabrirparentesisnelmenoselunoelcerrarparentesis,1
numeluno eligual elcincoelsaltodelineanumeldos eligual elunoelceroelsaltodelineasum eligual numeluno elmas numeldoselsaltodelineaprintelabrirparentesissumelcerrarparentesis,0
const fruits eligual elabrircorchetelacomillasimpleapplelacomillasimplelacoma lacomillasimplebananalacomillasimplelacoma lacomillasimplecherrylacomillasimpleelcerrarcorcheteelsaltodelineafor fruit in fruitslosdospuntoselsaltodelinea printelabrirparentesisfruitelcerrarparentesis,0
public static void mainelabrirparentesisStringelabrircorcheteelcerrarcorchete argselcerrarparentesis elabrirllaveelsaltodelinea int x eligual elcincoelpuntoycomaelsaltodelinea SystemelpuntooutelpuntoprintlnelabrirparentesislacomillasimpleThe value of x islosdospuntos lacomillasimple elmas xelcerrarparentesiselpuntoycomaelsaltodelineaelcerrarllave,0
def islabarrabajaprimeelabrirparentesisnumelcerrarparentesislosdospuntoselsaltodelinea if num elmenorqueeligual elunolosdospuntoselsaltodelinea return Falseelsaltodelinea for i in rangeelabrirparentesiseldoslacoma numelcerrarparentesislosdospuntoselsaltodelinea if num elporcentaje i eligualeligual elcerolosdospuntoselsaltodelinea return Falseelsaltodelinea return True,1
var numbers eligual elabrircorcheteelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarcorcheteelsaltodelineavar sum eligual numberselpuntoreduceelabrirparentesiselabrirparentesisalacoma belcerrarparentesis eligualelmayorque a elmas belcerrarparentesiselsaltodelineaconsoleelpuntologelabrirparentesissumelcerrarparentesis,0
intelabrircorcheteelcerrarcorchete arr eligual elabrirllaveelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarllaveelsaltodelineaint sum eligual elceroelpuntoycomaelsaltodelineafor elabrirparentesisint i eligual elceroelpuntoycoma i elmenorque arrelpuntolengthelpuntoycoma ielmaselmaselcerrarparentesis elabrirllaveelsaltodelinea sum elmaseligual arrelabrircorcheteielcerrarcorcheteelpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaSystemelpuntooutelpuntoprintlnelabrirparentesissumelcerrarparentesiselpuntoycoma,0
def greetelabrirparentesisnameelcerrarparentesislosdospuntoselsaltodelinea printelabrirparentesislacomillasimpleHellolacoma lacomillasimple elmas name elmas lacomillasimple!lacomillasimpleelcerrarparentesiselsaltodelineagreetelabrirparentesislacomillasimpleJohnlacomillasimpleelcerrarparentesis,1
var numeluno eligual elcincoelpuntoycomaelsaltodelineavar numeldos eligual elunoelceroelpuntoycomaelsaltodelineavar sum eligual numeluno elmas numeldoselpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesissumelcerrarparentesiselpuntoycoma,0
public static int multiplyelabrirparentesisint numelunolacoma int numeldoselcerrarparentesis elabrirllave return numeluno elasterisco numeldoselpuntoycoma elcerrarllave,0
let name eligual lacomillasimpleAlicelacomillasimpleelpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesislacomillasimpleHellolacoma lacomillasimple elmas name elmas lacomillasimple!lacomillasimpleelcerrarparentesiselpuntoycoma,0
import mathelsaltodelineaprintelabrirparentesismathelpuntosqrtelabrirparentesiseldoselcincoelcerrarparentesiselcerrarparentesis,1
function sumelabrirparentesisalacoma belcerrarparentesis elabrirllaveelsaltodelinea return a elmas belpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaconsoleelpuntologelabrirparentesissumelabrirparentesiseltreslacoma elcincoelcerrarparentesiselcerrarparentesiselpuntoycoma,0
printelabrirparentesislacomillasimpleMy name is John and I am lacomillasimple elmas strelabrirparentesiseltreselceroelcerrarparentesis elmas lacomillasimple years oldelpuntolacomillasimpleelcerrarparentesis,1
intelabrircorcheteelcerrarcorchete numbers eligual elabrirllaveelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarllaveelpuntoycomaelsaltodelineaint sum eligual elceroelpuntoycomaelsaltodelineafor elabrirparentesisint number losdospuntos numberselcerrarparentesis elabrirllaveelsaltodelinea sum elmaseligual numberelpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaSystemelpuntooutelpuntoprintlnelabrirparentesissumelcerrarparentesiselpuntoycoma,0
def greetelabrirparentesisnameelcerrarparentesislosdospuntoselsaltodelinea printelabrirparentesisflacomillasimpleHellolacoma elabrirllavenameelcerrarllave! How are you doing todayelcerrarinterrogantelacomillasimpleelcerrarparentesiselsaltodelineagreetelabrirparentesislacomillasimpleMarylacomillasimpleelcerrarparentesis,1
double radius eligual elcuatroelpuntoelcincoelpuntoycomaelsaltodelineadouble circumference eligual eldos elasterisco MathelpuntoPI elasterisco radiuselpuntoycomaelsaltodelineaSystemelpuntooutelpuntoprintlnelabrirparentesiscircumferenceelcerrarparentesiselpuntoycoma,0
def fibonaccielabrirparentesisnelcerrarparentesislosdospuntoselsaltodelinea if n elmenorqueeligual elcerolosdospuntoselsaltodelinea return elceroelsaltodelinea elif n eligualeligual elunolosdospuntoselsaltodelinea return elunoelsaltodelinea elselosdospuntoselsaltodelinea return fibonaccielabrirparentesisnelmenoselunoelcerrarparentesis elmas fibonaccielabrirparentesisnelmenoseldoselcerrarparentesis,1
let fruits eligual elabrircorchetelacomillasimpleapplelacomillasimplelacoma lacomillasimplebananalacomillasimplelacoma lacomillasimplecherrylacomillasimpleelcerrarcorcheteelpuntoycomaelsaltodelinealet upperCaseFruits eligual fruitselpuntomapelabrirparentesisfruit eligualelmayorque fruitelpuntotoUpperCaseelabrirparentesiselcerrarparentesiselcerrarparentesiselpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesisupperCaseFruitselcerrarparentesiselpuntoycoma,0
public class MyClass elabrirllaveelsaltodelinea public static void mainelabrirparentesisStringelabrircorcheteelcerrarcorchete argselcerrarparentesis elabrirllaveelsaltodelinea SystemelpuntooutelpuntoprintlnelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesiselpuntoycomaelsaltodelinea elcerrarllaveelsaltodelineaelcerrarllave,0
function factorialelabrirparentesisnelcerrarparentesis elabrirllaveelsaltodelinea if elabrirparentesisn elmenorqueeligual elunoelcerrarparentesis elabrirllaveelsaltodelinea return elunoelpuntoycomaelsaltodelinea elcerrarllave else elabrirllaveelsaltodelinea return n elasterisco factorialelabrirparentesisn elmenos elunoelcerrarparentesiselpuntoycomaelsaltodelinea elcerrarllaveelsaltodelineaelcerrarllaveelsaltodelineaconsoleelpuntologelabrirparentesisfactorialelabrirparentesiselcincoelcerrarparentesiselcerrarparentesiselpuntoycoma,0
var name eligual lacomillasimpleJohnlacomillasimpleelpuntoycomaelsaltodelineavar age eligual eltreselceroelpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesisMy name is $elabrirllavenameelcerrarllave and I am $elabrirllaveageelcerrarllave years oldelpuntoelcerrarparentesiselpuntoycoma,0
intelabrircorcheteelcerrarcorchete numbers eligual elabrirllaveelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarllaveelpuntoycomaelsaltodelineaint product eligual elunoelpuntoycomaelsaltodelineafor elabrirparentesisint number losdospuntos numberselcerrarparentesis elabrirllaveelsaltodelinea product elasteriscoeligual numberelpuntoycomaelsaltodelineaelcerrarllaveelsaltodelineaSystemelpuntooutelpuntoprintlnelabrirparentesisproductelcerrarparentesiselpuntoycoma,0
def greetelabrirparentesisnamelacoma ageelcerrarparentesislosdospuntoselsaltodelinea printelabrirparentesisflacomillasimpleHellolacoma elabrirllavenameelcerrarllave! You are elabrirllaveageelcerrarllave years oldelpuntolacomillasimpleelcerrarparentesiselsaltodelineagreetelabrirparentesislacomillasimpleJohnlacomillasimplelacoma eltreselceroelcerrarparentesis,1
const fruits eligual elabrircorchetelacomillasimpleapplelacomillasimplelacoma lacomillasimplebananalacomillasimplelacoma lacomillasimplecherrylacomillasimpleelcerrarcorcheteelpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesisfruitselpuntojoinelabrirparentesislacomillasimplelacoma lacomillasimpleelcerrarparentesiselcerrarparentesiselpuntoycoma,0
int x eligual elcincoelpuntoycomaelsaltodelineaint y eligual elunoelceroelpuntoycomaelsaltodelineaif elabrirparentesisx elmayorque yelcerrarparentesis elabrirllaveelsaltodelinea Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is greater than ylacomillasimpleelcerrarparentesiselpuntoycomaelsaltodelineaelcerrarllave else if elabrirparentesisx elmenorque yelcerrarparentesis elabrirllaveelsaltodelinea Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is less than ylacomillasimpleelcerrarparentesiselpuntoycomaelsaltodelineaelcerrarllave else elabrirllaveelsaltodelinea Systemelpuntooutelpuntoprintlnelabrirparentesislacomillasimplex is equal to ylacomillasimpleelcerrarparentesiselpuntoycomaelsaltodelineaelcerrarllave,0
let numbers eligual elabrircorcheteelunolacoma eldoslacoma eltreslacoma elcuatrolacoma elcincoelcerrarcorcheteelpuntoycomaelsaltodelinealet product eligual numberselpuntoreduceelabrirparentesiselabrirparentesisalacoma belcerrarparentesis eligualelmayorque a elasterisco belcerrarparentesiselpuntoycomaelsaltodelineaconsoleelpuntologelabrirparentesisproductelcerrarparentesiselpuntoycoma,0
printelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesis,1
def addlabarrabajanumberselabrirparentesisxlacoma yelcerrarparentesislosdospuntos return x elmas y,1
public static void mainelabrirparentesisStringelabrircorcheteelcerrarcorchete argselcerrarparentesis elabrirllave SystemelpuntooutelpuntoprintlnelabrirparentesislacomillasimpleHellolacoma world!lacomillasimpleelcerrarparentesiselpuntoycomaelcerrarllave,0